"","Text","Positive","Negative","Score","PosPercent","NegPercent"
"150","RT @kiranmbhat: Days are not too far where Non-Hindi people will be put on house arrest like in Kashmir and Hindi will be made National Lan",1,0,1,100,0
"151","RT @IamSeaKing: If you try to impose Hindi on us, India will not be United....

We are Indians for 70 years only, but Tamils for 20,000 yea",0,1,-1,0,100
"152","RT @tarauk: India isnt an island. Want most spoken language internally &amp; externally, its English. Want Indian language spoken officially",0,0,0,0,0
"153","RT @SrujanaDeva: @IndiaToday Someone remind Sha that our unity lies in diversity. We don't need one Lang to represent us. Hindi cannot repr",1,1,0,50,50
"154","RT @i_am_karuna: #StopHindiImperialism
If a foreigner can try to speak or learn  #Hindi despite he can speak English fluently then why do f",0,0,0,0,0
"155","RT @NicheBrain: We spent a century defending our linguistic rights. Isn't it time for offensive?

What comes as complementary with Hindi, o",1,1,0,50,50
"156","RT @ajavgal: Dear RajaBhasha committee

why not other languages?

#BlackDayAgainstHindiImposition
#StopHindiImperialism
#StopHindiImpositio",0,0,0,0,0
"157","RT @ajavgal: even ISRO was asked to Use Hindi ,
just becoz funds are from union govt 
#BlackDayAgainstHindiImposition 
#StopHindiImposition",0,0,0,0,0
"158","RT @rsponnathpur: Our flag, our anthem, our emblem, our language, our culture, our identity. This is everything for us. We shall resist imp",0,0,0,0,0
"159","RT @niranjan2428: Now Every non Hindi speaking States opposing Hindi imposing. This is our India!!

#StopHindiImperialism 
#HindiIsNotOu",0,1,-1,0,100
"160","RT @MissFurioso: The audacity to certify one language as the language of a nation of over a billion population proves that this party does",1,1,0,50,50
"161","RT @ajavgal: Discrimination based on language

#BlackDayAgainstHindiImposition 
#StopHindiImperialism 
#StopHindiImposition /kB",0,1,-1,0,100
"162","without any hesitation rejecting #HindiDiwas it maybe largest language spoke in India and a zillion other reason.
I /upbZkilQGH",0,1,-1,0,100
"163","RT @niranjan2428: Now Every non Hindi speaking States opposing Hindi imposing. This is our India!!

#StopHindiImperialism 
#HindiIsNotOu",0,1,-1,0,100
"164","If hindi be made as the primary language all over india, then it would hindia no more India and the boundaries of t /mRDaYmqfMh",0,0,0,0,0
"165","RT @DravidanTalkies: Excerpts of @tiruchisiva  speech during official language private member bill during March-2013. The bill was introduc",0,0,0,0,0
"166","RT @TrollywoodOffl: To Mr. Amitshah..

#StopHindiImposition #StopHindiImperialism /tND2nEcHJo",0,0,0,0,0
"167","RT @kiranmbhat: Days are not too far where Non-Hindi people will be put on house arrest like in Kashmir and Hindi will be made National Lan",1,0,1,100,0
"168","Bcoz of this man, he s trying to impose i think so..  #StopHindiImperialism #StopHindiImposition /SM69qD51Dq",0,1,-1,0,100
"169","RT @arikisiva: Tamil is one of the longest-survivingclassical languagesin the world
#StopHindiImposition #StopHindiImperialism https://t.",0,0,0,0,0
"170","RT @TrollywoodOffl: To Mr. Amitshah..

#StopHindiImposition #StopHindiImperialism /tND2nEcHJo",0,0,0,0,0
"171","RT @arikisiva: Let us unite as Tamils 
#StopHindiImposition #StopHindiImperialism /rylyS38SUp",0,0,0,0,0
"172","RT @AHeggade: Opposing Hindi Imposition has nothing to do with hate, it is only to avoid other languages getting killed.

#BlackDayAgainstH",0,3,-3,0,100
"173","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"174","RT @hukuna_matatta: @themorningshine And Swiss with 4 national languages. It means recognition and respect for all aka UNITING. not this sh",1,0,1,100,0
"175","RT @kiranmbhat: Days are not too far where Non-Hindi people will be put on house arrest like in Kashmir and Hindi will be made National Lan",1,0,1,100,0
"176","RT @niranjan2428: Now Every non Hindi speaking States opposing Hindi imposing. This is our India!!

#StopHindiImperialism 
#HindiIsNotOu",0,1,-1,0,100
"177","RT @hukuna_matatta: @themorningshine And Swiss with 4 national languages. It means recognition and respect for all aka UNITING. not this sh",1,0,1,100,0
"178","RT @AHeggade: Opposing Hindi Imposition has nothing to do with hate, it is only to avoid other languages getting killed.

#BlackDayAgainstH",0,3,-3,0,100
"179","RT @imanikrrish: We don't not hate Hindi.We hate Imposition of Some other language against our wishes.
#StopHindiImposition
#StopHindiImper",0,3,-3,0,100
"180","RT @rajeshkanna2020: Crow is more than Peacock, will you announce crow as a national bird?...Anna in parliament #StopHindiImposition #StopH",0,0,0,0,0
"181","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"182","RT @ajavgal: Customers were treated badly for speaking in Kannada in Karnataka

report in Today's @NewIndianXpress

#BlackDayAgainstHindiIm",0,1,-1,0,100
"183","One Nation.. One Language?? Bull shit!! Stop Hindi imposition. We believe in language diversity! Some shitheads don /vb0w0ZE9Cz",0,2,-2,0,100
"184","@dixit7shubham You can't resist too! Educate yourself.. bolo bhaiyaa India is not Hindia!
#StopHindiImposition #StopHindiImperialism",0,0,0,0,0
"185","RT @Jeganb79: if it is your birth day celebrate. Why are you asking me to celebrate.  #StopHindiImperialism #StopHindiImperialism 

I will",2,0,2,100,0
"186","Every Indian citizen loves,likes Hindi.Hindi unites the nation.Jay Hind. #StopHindiImperialism",2,0,2,100,0
"187","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"188","RT @nanuramu: The beauty of India is its diversity and numerous languages. The Union government shelling out loads of money to promote only",1,0,1,100,0
"189","RT @JosephPravin18: Requesting @KanimozhiDMK @jothims @ThamizhachiTh &amp; every other Tamil MPs to speak in their mother tongue inside parliam",0,0,0,0,0
"190","RT @kodiparakuthaa: #StopHindiImposition
This man clearly doesn't understand what ""Unity in Diversity"" means. 

India's multiple language-n",2,0,2,100,0
"191","Crow is more than Peacock, will you announce crow as a national bird?...Anna in parliament #StopHindiImposition #StopHindiImperialism #Hindi",0,0,0,0,0
"192","@Himansh10929167 @Rovin53984569 @Reshma_PSV What is in name? It was given by his father in respect of revolutionist /xj9nxoLIuM",1,0,1,100,0
"193","RT @TrYashas: Kannada is my National lang, v pay taxes to provide services in my lang, If my country fails to provide services in my lang w",0,1,-1,0,100
"194","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"195","RT @Jeganb79: # in hash tag mattum pothum . Every thing includes 

#StopHindiImperialism #StopHindiImperialism #StopHindiImperial",0,0,0,0,0
"196","Keep it as India, not Hindia.. #StopHindiImposition #StopHindiImperialism",0,0,0,0,0
"197","RT @iam_gdhev: Do one thing @AmitShah stop collecting taxes from non Hindi speaking states and then start promoting ur lang...u need our ta",0,0,0,0,0
"198","RT @iam_gdhev: Do one thing @AmitShah stop collecting taxes from non Hindi speaking states and then start promoting ur lang...u need our ta",0,0,0,0,0
"199","RT @iyaltamizh: This not a Jammu and Kashmir this is Tamilnadu, you cannot. #StopHindiImposition #StopHindiImperialism /GAYpV0M",0,0,0,0,0
"200","RT @SrujanaDeva: To all the Hindi speakers, please see 

#StopHindiImperialism #StopHindiImposition /KcQszhghLW",0,0,0,0,0
"201","@themorningshine And Swiss with 4 national languages. It means recognition and respect for all aka UNITING. not thi /X1x5GW6Cl2",1,0,1,100,0
